instance,variant,node,start_kind,pool,cold_start_s,data_read_s,compute_s,data_write_s,read_mb,wrote_mb
0,short-720p,generate,cold,ondemand,41.342,0.0000,4.1772,0.0065,0.00,3.07
3,short-720p,generate,warm,ondemand,0.000,0.0000,7.6507,0.0435,0.00,3.07
2,short-720p,generate,cold,ondemand,5.202,0.0000,7.6668,0.0324,0.00,3.07
4,short-720p,generate,cold,ondemand,3.026,0.0000,9.9133,0.0491,0.00,3.07
0,short-720p,cut-a,reuse,ondemand,0.000,0.0275,8.5498,0.0332,3.07,1.37
0,short-720p,cut-b,reuse,ondemand,0.000,0.0399,8.5285,0.0363,3.07,1.35
2,short-720p,cut-a,cold,ondemand,4.055,0.0645,7.0960,0.0062,3.07,1.37
3,short-720p,cut-a,reuse,ondemand,0.000,0.0983,13.8254,0.0795,3.07,1.37
2,short-720p,cut-b,cold,ondemand,3.022,0.0943,14.7362,0.0154,3.07,1.35
5,med-720p,generate,cold,ondemand,4.948,0.0000,25.1214,0.0962,0.00,6.16
4,short-720p,cut-b,warm,ondemand,0.000,0.0277,14.6739,0.0105,3.07,1.35
4,short-720p,cut-a,warm,ondemand,0.000,0.0277,15.3210,0.0221,3.07,1.37
3,short-720p,cut-b,cold,ondemand,4.250,0.0216,16.1604,0.0324,3.07,1.35
0,short-720p,merge,reuse,ondemand,0.000,0.0280,18.7819,0.0217,2.72,2.38
1,long-1080p,generate,cold,ondemand,3.392,0.0000,43.2544,0.4452,0.00,25.41
2,short-720p,merge,reuse,ondemand,0.000,0.0349,11.2811,0.0293,2.72,2.38
4,short-720p,merge,reuse,ondemand,0.000,0.0154,8.4540,0.0056,2.72,2.38
5,med-720p,cut-a,warm,ondemand,0.000,0.0545,10.1632,0.0128,6.16,2.71
3,short-720p,merge,reuse,ondemand,0.000,0.0357,8.3359,0.0067,2.72,2.38
5,med-720p,cut-b,reuse,ondemand,0.000,0.0664,10.1064,0.0130,6.16,2.74
5,med-720p,merge,warm,ondemand,0.000,0.0155,6.9565,0.0360,5.45,4.85
1,long-1080p,cut-a,warm,ondemand,0.000,0.1915,15.7242,0.0238,25.41,10.77
1,long-1080p,cut-b,reuse,ondemand,0.000,0.1530,15.7813,0.0222,25.41,10.75
1,long-1080p,merge,warm,ondemand,0.000,0.0383,11.6314,0.0311,21.52,18.58
